gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper,,gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper
-0.84668839,0.920764625,1.609780908,-0.6177091,-0.336530238,0.153359845,-0.687927544,0.026309803,0.096152596,0.337622494,-0.229779869,-0.31340614,0.696240366,0.589186192,0.17610395,,-0.816876829,0.876938105,1.639359951,-0.582323313,-0.395392686,0.247996405,-0.665629089,0.036939859,0.076743603,0.403537393,-0.177289903,-0.2369681,0.726937413,0.61965853,0
-0.848961651,0.914795041,1.608901262,-0.619941354,-0.328913242,0.163498566,-0.68835634,0.02259171,0.092628084,0.335895807,-0.2371438,-0.307015836,0.689646184,0.598434269,0.19040826,,-0.82272929,0.874158978,1.645429015,-0.577784479,-0.395697802,0.257333487,-0.665859282,0.032070819,0.074715316,0.408206791,-0.178802803,-0.2290833,0.727135718,0.621951878,0
-0.85057497,0.909178734,1.607491732,-0.621679604,-0.321943104,0.172215968,-0.688530982,0.019223383,0.089561634,0.334226042,-0.24367021,-0.301425904,0.683586955,0.606259584,0.203130886,,-0.823390484,0.861957371,1.646008015,-0.571069479,-0.391307294,0.25375551,-0.675549328,0.03099406,0.061671078,0.406943709,-0.190207705,-0.228466302,0.731448114,0.61368382,0
-0.85166502,0.903912544,1.605716705,-0.62302798,-0.315580279,0.179703236,-0.68850702,0.01618078,0.086878307,0.332634449,-0.249442652,-0.296535224,0.678030908,0.61287415,0.214427188,,-0.823949993,0.857207775,1.644297957,-0.568556607,-0.39029789,0.250532001,-0.679444611,0.030123049,0.058604062,0.406017512,-0.192150503,-0.228335604,0.732785285,0.611528277,0
-0.852338433,0.898987234,1.603695273,-0.62406671,-0.309782535,0.186127245,-0.688328505,0.013438344,0.084518291,0.331131309,-0.254538506,-0.292254835,0.672941208,0.61845547,0.224441245,,-0.825608373,0.855056226,1.64812696,-0.566003501,-0.392676502,0.252234697,-0.679575682,0.0289892,0.056717101,0.41018641,-0.189853102,-0.225295603,0.734630227,0.611159682,0
-0.852680027,0.894389927,1.601514459,-0.624857068,-0.304507434,0.191634282,-0.688030422,0.010970645,0.082433313,0.329719543,-0.259028852,-0.288506806,0.668280423,0.623153627,0.23330541,,-0.825975716,0.854228973,1.64972198,-0.564336479,-0.398344189,0.248076499,-0.679194212,0.028817531,0.055299941,0.411613196,-0.185890898,-0.227305502,0.738729119,0.6066764,0
-0.852757156,0.890105665,1.599237204,-0.625446022,-0.299713612,0.196351916,-0.687640309,0.008753386,0.080584213,0.328398466,-0.262978762,-0.28522256,0.664012074,0.627096176,0.241140515,,-0.824541688,0.852126181,1.649384022,-0.570845485,-0.398052514,0.252358109,-0.672313273,0.030803559,0.052817579,0.411554903,-0.180473,-0.229087904,0.730413079,0.617612422,0
-0.852624416,0.88611871,1.596911311,-0.625870228,-0.295361876,0.200391203,-0.687180161,0.006763718,0.07893917,0.327165157,-0.266447723,-0.282342255,0.660102785,0.630392849,0.248056576,,-0.825791895,0.851136804,1.64991498,-0.595480025,-0.382318497,0.275321394,-0.650718629,0.03001767,0.054245949,0.412962705,-0.173528403,-0.230169907,0.699773192,0.653626323,0
-0.852327049,0.882413685,1.594572902,-0.626158714,-0.291415513,0.203848407,-0.686668038,0.004980394,0.077472068,0.326015711,-0.269489616,-0.279813826,0.656522036,0.633137882,0.25415346,,-0.827472687,0.852076888,1.648203969,-0.603138208,-0.38047561,0.274479985,-0.645076275,0.02810538,0.054409381,0.410719007,-0.174015597,-0.235597,0.700167179,0.651136279,0
-0.851902127,0.87897557,1.592250705,-0.626334727,-0.287840545,0.20680657,-0.686119199,0.003383852,0.07616128,0.324945986,-0.272153437,-0.277591974,0.653242648,0.635412872,0.259521335,,-0.827989221,0.852256298,1.651550055,-0.602775395,-0.381287187,0.27847299,-0.643221974,0.02802581,0.055469871,0.41487959,-0.170918897,-0.232917607,0.698470592,0.654732823,0
