gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper,,gripper_x,gripper_y,gripper_z,gripper_q1,gripper_q2,gripper_q3,gripper_q4,can_x,can_y,can_z,can_q1,can_q2,can_q3,can_q4,gripper
-0.85485357,0.860347569,1.497576594,-0.654340565,-0.15805155,0.122689761,-0.733206093,-0.026766846,0.070367299,0.234302193,-0.408935875,-0.326237023,0.591786563,0.626134813,0.03127142,,-0.826420307,0.851827025,1.648792028,-0.604682207,-0.386658102,0.271841913,-0.641059518,0.029410839,0.05306292,0.41147241,-0.165885106,-0.237780005,0.702251017,0.650220275,0
-0.858963609,0.864815414,1.505301595,-0.657486856,-0.158903286,0.123656295,-0.736650705,-0.026896549,0.07071396,0.235695511,-0.410914332,-0.327658474,0.594846129,0.629666626,0.032664631,,-0.826608777,0.851504624,1.648776054,-0.603464782,-0.388513386,0.274926186,-0.639768481,0.02953678,0.053085569,0.41183871,-0.163735002,-0.2349291,0.701981187,0.652090311,0.060194049
-0.8624897,0.868627965,1.511831641,-0.66018182,-0.159580857,0.124458075,-0.739587963,-0.027056292,0.07101839,0.236831814,-0.41264987,-0.328897387,0.597415268,0.632648528,0.034396611,,-0.825592697,0.85133332,1.648851037,-0.602907419,-0.390708089,0.276933491,-0.638089478,0.031029159,0.05305535,0.41203469,-0.161727399,-0.232870698,0.701920927,0.65339309,0.217866495
-0.865494847,0.871858418,1.517318606,-0.662477553,-0.160110578,0.125109628,-0.742085934,-0.027227471,0.071276896,0.237748146,-0.414172471,-0.329972953,0.599560618,0.635147989,0.036171723,,-0.825368583,0.85184288,1.649499059,-0.602448702,-0.392093092,0.279927194,-0.6363644,0.031481031,0.05372775,0.413267493,-0.159271106,-0.230110198,0.701841712,0.65505749,0.505004287
-0.868035913,0.874574184,1.521897554,-0.664420128,-0.160517737,0.125628158,-0.744201779,-0.027395923,0.071489379,0.238479644,-0.415503502,-0.330900908,0.60134095,0.63722676,0.037792839,,-0.825698316,0.854517877,1.650151014,-0.603813887,-0.393177092,0.283542097,-0.6327914,0.03135455,0.05663782,0.4138529,-0.156287,-0.228989005,0.699527204,0.65863508,0.619605303
-0.870165765,0.876838207,1.52569139,-0.666051328,-0.160825804,0.126032278,-0.745984674,-0.027551664,0.071658321,0.239058405,-0.416660279,-0.331695139,0.60280931,0.638941944,0.039144792,,-0.826135218,0.854571402,1.649464965,-0.604058921,-0.390672296,0.2856839,-0.633145511,0.03065276,0.057554241,0.413232714,-0.159651905,-0.227009103,0.697508276,0.660651386,0.752189279
-0.871934533,0.878708959,1.528811574,-0.667409897,-0.161055729,0.126340806,-0.747477591,-0.027688438,0.071788095,0.239513025,-0.417657226,-0.332368225,0.60401243,0.640345752,0.040176358,,-0.828028023,0.859781921,1.649083972,-0.6059466,-0.384454906,0.290365905,-0.633017719,0.02848023,0.063866198,0.412626714,-0.1633524,-0.225749493,0.692662716,0.665260613,0.814948082
-0.873389244,0.880240917,1.531358838,-0.668531477,-0.161225468,0.126571685,-0.748719275,-0.027803201,0.071883932,0.239868566,-0.418508291,-0.33293283,0.60499233,0.64148581,0.040883217,,-0.830968499,0.870579183,1.647550941,-0.609575212,-0.371073902,0.299749613,-0.633144975,0.02511102,0.078376167,0.410086215,-0.174812406,-0.221847594,0.680880487,0.675741076,0.829705119
-0.874574304,0.881484509,1.533423781,-0.669449508,-0.161350131,0.126741052,-0.749744415,-0.027895315,0.071951665,0.240145966,-0.419226944,-0.333401173,0.605785728,0.642404795,0.041292481,,-0.844830573,0.903460205,1.633169055,-0.626756012,-0.323563188,0.316059411,-0.634500206,0.00628674,0.118165098,0.391124398,-0.215253502,-0.224855095,0.643973589,0.698859096,0.828156292
-0.87553066,0.882485867,1.53508687,-0.670194328,-0.161441967,0.126863316,-0.750584543,-0.027965857,0.071996905,0.240362987,-0.419826746,-0.333785176,0.606424928,0.643140793,0.041449767,,-0.876280189,0.93422401,1.606040955,-0.643890798,-0.261213005,0.315926403,-0.646036923,-0.02916741,0.1501607,0.358914405,-0.2644445,-0.241779,0.610129476,0.706649899,0.827986598
